,kiwerUsername,clientId,restaurantId,restaurant.location.lat,restaurant.location.lng,location.lat,location.lng,rating,created,courierArrived,pickedUp,botLoaded,waitingForClient,closed
0,,5bc628d9c5d5c90004e2d2bc,5aabf6e84ef649000430bbb7,37.870027,-122.268592,37.8670331,-122.2562078,,1551749234206,None,None,None,None,None
1,DavidMedina,5898c93d1094c700044c469e,59b748bf56778d00043665fe,37.867973,-122.258093,37.8728774,-122.2572313,,1551749178907,None,None,None,None,None
2,DavidMedina,5b47a26b1cf0c6000497191f,59b748bf56778d00043665fe,37.867973,-122.258093,37.8728359,-122.2572363,,1551749160806,None,None,None,None,None
3,cristianmaldonado,5bad5a049e839000042634d7,5aabf6e84ef649000430bbb7,37.870027,-122.268592,37.8659997,-122.2492927,,1551749120647,None,None,None,None,None
4,cristianmaldonado,59ef978d6d5dcf0004ee41ee,5af64b729a5f6700041b7ffc,37.86601,-122.267114,37.8704246,-122.2581175,,1551748997198,None,None,None,None,None
5,DavidMedina,5b47a26b1cf0c6000497191f,5b1b37d7cf915800044bd47d,37.867843,-122.2569095,37.8728481,-122.2572506,,1551748969234,None,None,None,None,None
6,DavidMedina,5898c93d1094c700044c469e,58b894d8448a7a00048a9312,37.867966,-122.257605,37.8726597,-122.2575344,,1551748913549,None,None,None,None,None
7,DavidMedina,5ab58607f599790004a7c44a,58b4712aea014f0004c9a5e6,37.867288,-122.258937,37.8752591,-122.25955209999998,,1551748714880,1551749023878,None,None,None,None
9,dianaleano,5aefafe87fe32000040ab6a2,57f337b847030d0003357669,37.868349,-122.258907,37.8682897,-122.2534652,,1551745962495,1551746459876,1551746532282,1551746559564,1551747295166,1551747723711
10,dianaleano,58b22bb03488f4000402204f,5bc81af17a2ac90004e84b2d,37.8625925,-122.2590371,37.8725575,-122.25399609374998,4.0,1551745622794,1551746745419,1551746823143,1551747165981,1551748295079,1551748573297
11,DianaTests,5c507c0defff890004519fed,5aabf6e84ef649000430bbb7,37.870027,-122.268592,37.870019,-122.26861299999999,,1551744350025,None,None,None,None,None
12,dianaleano,5b75eae5b2718000048c9d2f,5aabf6e84ef649000430bbb7,37.870027,-122.268592,37.867990999999996,-122.26952360000001,,1551744064539,1551744196186,1551744392374,1551744604955,1551745001971,1551745435965
13,leonardocorrea,5b89771dd646630004e85442,57e0152ff39f2211007a7ce1,37.8684534,-122.2604515,37.8740615,-122.2583052,,1551742425063,1551743265012,1551743305001,1551744344709,1551744599938,1551744949238
14,leonardocorrea,5be275479390c000047b3427,5af4e54efddc930004f0452e,37.868098,-122.2581362,37.874895900000006,-122.2552585,,1551741908868,1551743683162,1551743695267,1551743704487,1551744529478,1551744709577
15,leonardocorrea,5b7b7a79de751400042f8ab9,58ac0a13e6acc80004bd5857,37.870441,-122.2665,37.8759963,-122.2567802,,1551741244941,1551741387610,1551741992364,1551742281878,1551744939211,1551745080911
16,leonardocorrea,5c1ed3de02afa5000400f3c7,57f337b847030d0003357669,37.868349,-122.258907,37.8717114,-122.2539597,5.0,1551740133672,1551743435035,1551743527146,1551743543853,1551744464343,1551744971108
17,leonardocorrea,58e85895e70d7d0004bc41fc,59b748bf56778d00043665fe,37.867973,-122.258093,37.870019,-122.26861299999999,,1551740047606,1551740242503,1551740472004,1551741608572,1551741858631,1551742061569
18,carlos,5ac7de26167bd80004dd271e,576c4616a7a7598173045b24,37.872038,-122.267046,37.8723704,-122.2645543,5.0,1551739734262,1551740935939,1551740942795,1551741241850,1551741875610,1551742353991
19,leonardocorrea,5bc8e6086b53a30004e6b706,59b1d7a17327b6000421f00d,37.867986,-122.257929,37.8680633,-122.2505922,,1551739445364,1551740119225,1551740177147,1551740441274,1551741258377,1551742447343
20,leonardocorrea,5b873ef5a053d7000478dfd2,5aabf6e84ef649000430bbb7,37.870027,-122.268592,37.8763831,-122.25929889999998,,1551739357015,1551741368565,1551741370990,1551741683082,1551745178878,1551745528272
21,carlos,5c7da4f0dcf93c000365ed57,5af7a9eb02defd00047c28c0,37.8703566,-122.266429,37.8713948,-122.2632527,,1551738511351,1551739266932,1551739857774,1551740396341,1551740660072,1551741766280
22,leonardocorrea,5ab00cfbfc141e000475e83c,59b748bf56778d00043665fe,37.867973,-122.258093,37.864632699999994,-122.25665949999998,5.0,1551738342916,1551740200331,1551740234417,1551740754094,1551740816429,1551741801773
23,leonardocorrea,5b58ef59d084fa000473c15d,5bc81af17a2ac90004e84b2d,37.8625925,-122.2590371,37.8637592,-122.2684175,5.0,1551738107059,1551739493122,1551739603623,1551741340261,1551742771449,1551742949907
24,leonardocorrea,5c501ac2efff890004519fd8,5af4eef4fddc930004f04568,37.8655067,-122.2583655,37.863167000000004,-122.26443760000001,,1551737941968,1551739805546,1551739869697,1551741097553,1551741161784,1551741790945
25,leonardocorrea,5b8c57a980eb3f0004fb719b,5ba40c85636b4b0004648f28,37.8672895,-122.2590007,37.87257379999999,-122.260848,,1551737894793,1551738655995,1551738747657,1551739059085,1551739393903,1551739526957
27,leonardocorrea,5ab00cfbfc141e000475e83c,5aabf6e84ef649000430bbb7,37.870027,-122.268592,37.864632699999994,-122.25665949999998,5.0,1551736850329,1551737105853,1551737108268,1551738142896,1551738389963,1551740751602
28,leonardocorrea,5ab03c5cfc141e000475e9fa,5af7a9eb02defd00047c28c0,37.8703566,-122.266429,37.8722439,-122.2562718,1.0,1551736827341,1551739251183,1551739850157,1551740323330,1551743241985,1551743269554
29,leonardocorrea,5b877115a053d7000478e01f,5aabf6e84ef649000430bbb7,37.870027,-122.268592,37.8642305,-122.26357200000001,,1551736697477,1551737089820,1551737097240,1551737817222,1551738437616,1551738513379
30,leonardocorrea,5b877115a053d7000478e01f,5aabf6e84ef649000430bbb7,37.870027,-122.268592,37.8642305,-122.26357200000001,,1551736674085,1551737058615,1551737066173,1551737803253,1551738447941,1551738517627
31,dianaleano,5bc8e2cf6b53a30004e6b6ac,59b748bf56778d00043665fe,37.867973,-122.258093,37.8709171,-122.2559529,,1551735651125,1551736095716,1551736282344,1551736554691,1551736924258,1551738600742
32,dianaleano,5a320b2d7701b60004ec6aa1,589c1ea76147000004e8f095,37.867629,-122.259662,37.869533700000005,-122.26033260000001,4.0,1551735533103,1551735898061,1551735943639,1551736599129,1551736944773,1551737829250
33,dianaleano,5ac6c1c104bffd000432e005,58b894d8448a7a00048a9312,37.867966,-122.257605,37.872574,-122.26074799999998,5.0,1551734786784,1551735064601,1551735147067,1551735445937,1551735850143,1551736003287
34,danielflorez,5b64c6011e7d790004ef135b,58b4712aea014f0004c9a5e6,37.867288,-122.258937,37.87333110000001,-122.2648877,5.0,1551733405022,1551734186311,1551734243619,1551734570213,1551734839878,1551735884600
35,DavidMedina,5c5cf297f28da8000308934a,57f337b847030d0003357669,37.868349,-122.258907,37.8697747,-122.2660779,,1551732732806,1551733889059,1551733893522,1551733927988,1551734250715,1551734365214
36,DavidMedina,5b8c57a980eb3f0004fb719b,576c4616a7a7598173045b24,37.872038,-122.267046,37.872574,-122.26074799999998,,1551732275217,1551732742152,1551733569712,1551733587276,1551734316985,1551734852023
37,,5b8c57a980eb3f0004fb719b,589bef66de8f980004317df2,,,37.8724434,-122.2609938,5.0,1551732220929,None,None,None,None,1551732248020
38,dianaleano,5c7d87acdcf93c000365ebd7,5af4eef4fddc930004f04568,37.8655067,-122.2583655,37.87181770000001,-122.2542613,3.0,1551731400922,1551731851701,1551732119441,1551732536514,1551733709797,1551733882992
39,danielflorez,5c62161d7828fa0003ff2b0a,5a84b885334042000427ba6e,37.8686887,-122.2674695,37.8696741,-122.2593643,,1551731116431,1551731859290,1551732089919,1551732790656,1551732987174,1551733437549
40,dianaleano,5c501ac2efff890004519fd8,59b748bf56778d00043665fe,37.867973,-122.258093,37.8701536,-122.2603856,5.0,1551730646358,1551731536224,1551731602257,1551732543764,1551732670471,1551733002435
41,danielflorez,5bad62d59e839000042634fc,5aabf6e84ef649000430bbb7,37.870027,-122.268592,37.8657843,-122.25486110000001,,1551730370969,1551731210229,1551731213449,1551732118048,1551732628302,1551732813469
42,danielflorez,5b19b88e81c42700048600b2,589c1ea76147000004e8f095,37.867629,-122.259662,37.8760227,-122.2588207,,1551729621565,1551730229936,1551730397390,1551731104619,1551731606462,1551732712160
43,danielflorez,5c1aa24f749e2500046549e5,5afb3a6881a91a000458fc59,37.8687645,-122.2675439,37.869843599999996,-122.2596451,4.0,1551729443525,1551729697962,1551729967926,1551730935249,1551731439690,1551731543543
44,DavidMedina,5b7c5b78849e46000479bb9c,58ac0a13e6acc80004bd5857,37.870441,-122.2665,37.8664741,-122.2642098,,1551728784677,1551729175348,1551729482827,1551729507619,1551730930477,1551731315294
45,dianaleano,5bb3d063ddefeb0004a81f29,5b7878d0176ef70004b8251e,37.867263,-122.258759,37.87412749999999,-122.25791015624998,,1551728714955,1551729241012,1551730560518,1551730906871,1551731833913,1551733147900
46,danielflorez,5c4fd780efff890004519ef5,589c1ea76147000004e8f095,37.867629,-122.259662,37.8646153,-122.2540596,,1551728327263,1551728961312,1551729104449,1551730676387,1551730832532,1551732067332
47,danielflorez,59d9818b6a47510004da92db,5aabf6e84ef649000430bbb7,37.870027,-122.268592,37.8637236,-122.25342459999999,,1551727340919,1551727894115,1551727900769,1551728827058,1551729318028,1551729723624
48,danielflorez,57cf029a2d821d00033af729,5aabf6e84ef649000430bbb7,37.870027,-122.268592,37.8691012,-122.2588477,5.0,1551727160803,1551727879118,1551727891155,1551728451946,1551728622527,1551728737820
49,dianaleano,5ab46d7efd24ea000461a286,5af4eef4fddc930004f04568,37.8655067,-122.2583655,37.8747782,-122.2589808,5.0,1551726516715,1551727784535,1551727816107,1551728289436,1551728965598,1551729071512
50,danielflorez,5ba7b032ff3442000475a695,5b08639fcf1a930004a82e22,37.8683129,-122.2581296,37.8682294,-122.2691943,5.0,1551726327973,1551726594437,1551727510076,1551729174572,1551729402761,1551729584965
51,danielflorez,5ac5a4cac7947a00046b1ff7,57f337b847030d0003357669,37.868349,-122.258907,37.8754182,-122.2637843,5.0,1551726272749,1551727693285,1551727975584,1551728161513,1551728924431,1551729034266
52,dianaleano,5bc6a2f621815e0004464795,5aabf6e84ef649000430bbb7,37.870027,-122.268592,37.8714283,-122.25470120000001,5.0,1551724879652,1551725297679,1551725478169,1551726134978,1551727121482,1551727500881
53,dianaleano,5bc6a2f621815e0004464795,589c1ea76147000004e8f095,37.867629,-122.259662,37.8714283,-122.25470120000001,5.0,1551724844033,1551725824338,1551725968358,1551726124774,1551727126592,1551727496267
55,danielflorez,5c5cf297f28da8000308934a,5b4e69c11d0d690004198c0c,37.8680539,-122.25850259999999,37.868352699999996,-122.2564599,5.0,1551671236535,1551672051160,1551672811311,1551672929822,1551672960026,1551673437503
56,camiestrada,5ba58ca16b0800000435b417,5af4eef4fddc930004f04568,37.8655067,-122.2583655,37.8674677,-122.2550088,,1551671074549,1551672822260,1551673383430,1551673754357,1551673769293,1551674096656
57,camiestrada,589bbda1100ca50004796e34,5b787262176ef70004b82367,37.867979,-122.259891,37.8651925,-122.26444140625001,,1551670718979,1551672257753,1551673119791,1551673371789,1551673486516,1551673757757
58,camiestrada,5c15494cd26fc80004eb203b,57f337b847030d0003357669,37.868349,-122.258907,37.8695934,-122.25668649999999,1.0,1551670380644,1551671302689,1551671865244,1551671955351,1551672329970,1551672585586
59,camiestrada,5c61c13f66b33a00038c2fd5,5af4eef4fddc930004f04568,37.8655067,-122.2583655,37.8726647,-122.2602505,,1551669979100,1551670949394,1551671280436,1551672180679,1551672242662,1551673431351
